Date,Open,High,Low,Close,Adj Close,Volume
2020-03-25,48950.0,49600.0,47150.0,48650.0,43663.84765625,52735922
2020-03-26,49000.0,49300.0,47700.0,47800.0,42900.9609375,42185129
2020-03-27,49600.0,49700.0,46850.0,48300.0,43349.71484375,39896178
2020-03-30,47050.0,48350.0,46550.0,47850.0,43262.91796875,26797395
2020-03-31,48000.0,48500.0,47150.0,47750.0,43172.5078125,30654261
2020-04-01,47450.0,47900.0,45800.0,45800.0,41409.4453125,27259532
2020-04-02,46200.0,46850.0,45350.0,46800.0,42313.57421875,21621076
2020-04-03,47400.0,47600.0,46550.0,47000.0,42494.40234375,22784682
2020-04-06,47500.0,48800.0,47250.0,48700.0,44031.4375,23395726
2020-04-07,49650.0,50200.0,49000.0,49600.0,44845.16015625,31524034
2020-04-08,49600.0,49750.0,48600.0,48600.0,43941.03125,25010314
2020-04-09,49750.0,49800.0,48700.0,49100.0,44393.09375,22628058
2020-04-10,48950.0,49250.0,48650.0,49250.0,44528.7109375,17839111
2020-04-13,48650.0,48900.0,48300.0,48300.0,43669.78125,14431800
2020-04-14,48800.0,49200.0,48300.0,49000.0,44302.6796875,14206216
2020-04-16,49350.0,49350.0,48550.0,49000.0,44302.6796875,23349760
2020-04-17,50800.0,52000.0,50300.0,51400.0,46472.60546875,32041675
2020-04-20,51400.0,51400.0,50000.0,50100.0,45297.234375,21866354
2020-04-21,49400.0,49700.0,48700.0,49250.0,44528.7109375,27407543
2020-04-22,48700.0,50000.0,48350.0,49850.0,45071.1953125,18613864
2020-04-23,50200.0,50300.0,49500.0,49850.0,45071.1953125,18754442
2020-04-24,49650.0,49750.0,49000.0,49350.0,44619.12109375,15618347
2020-04-27,49350.0,50000.0,49100.0,49850.0,45071.1953125,14049471
2020-04-28,49850.0,50100.0,49300.0,50100.0,45297.234375,16095399
2020-04-29,49900.0,50500.0,49600.0,50000.0,45206.80859375,15604533
2020-05-04,48900.0,49100.0,48500.0,48500.0,43850.61328125,26083749
2020-05-06,49000.0,49200.0,48500.0,49200.0,44483.5,18070225
2020-05-07,49200.0,49300.0,48700.0,48800.0,44121.84765625,13884411
2020-05-08,49100.0,49350.0,48800.0,48800.0,44121.84765625,15319700
2020-05-11,48900.0,49250.0,48300.0,48400.0,43760.1875,16357743
2020-05-12,48400.0,48500.0,47550.0,47900.0,43308.12890625,23433590
2020-05-13,47250.0,48550.0,47200.0,48550.0,43895.82421875,20223277
2020-05-14,47750.0,48100.0,47650.0,48000.0,43398.54296875,19305974
2020-05-15,48400.0,48450.0,47700.0,47850.0,43262.91796875,18463118
2020-05-18,47950.0,49100.0,47600.0,48800.0,44121.84765625,20481981
2020-05-19,50100.0,50500.0,49700.0,50300.0,45478.05078125,25168295
2020-05-20,50000.0,50200.0,49800.0,50000.0,45206.80859375,14896899
2020-05-21,50300.0,50400.0,49850.0,49950.0,45161.609375,14949266
2020-05-22,49600.0,49800.0,48600.0,48750.0,44076.64453125,19706284
2020-05-25,48750.0,48900.0,48450.0,48850.0,44167.06640625,14337913
2020-05-26,48700.0,49450.0,48600.0,49250.0,44528.7109375,15127490
2020-05-27,48950.0,50000.0,48800.0,49900.0,45116.40234375,19548479
2020-05-28,51100.0,51200.0,49900.0,50400.0,45568.46875,31309318
